,uni_adm_yr,gender,age,hsc_pass_yr,curr_semester,scholarship,uni_transport_use,study_hrs_day,study_seat_day,pref_learn_mode,smart_phone_use,personal_comp,socialmed_hrs_day,eng_proficiency,avg_class_attend_perc,probation_record,suspension_record,teacher_consult,skills,skills_hrs_day,relationship_status,co_curricular_activity,co_living,health_issues,previous_sGPA,physical_disability,curr_cGPA,credits_completed,fam_income_month,curr_cGPA_binary,curr_cGPA_quaternary,curr_cGPA_ternary
277,2022,Male,19,2020,2,Yes,No,3,1,Online,Yes,Yes,2,Basic,90,Yes,No,No,Programming,1,Single,No,Bachelor,Yes,2.9,No,2.9,11,60000.0,1,1,1
278,2022,Male,18,2020,2,Yes,No,6,3,Offline,Yes,Yes,2,Basic,95,No,No,Yes,"Programming, Web development skill(Frontend)",2,Single,No,Family,No,3.48,No,3.48,12,25000.0,1,2,2
279,2021,Male,21,2019,2,No,No,2,3,Online,Yes,Yes,2,Basic,90,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend), Networking",4,Single,No,Bachelor,No,3.13,No,3.17,11,40000.0,1,2,1
281,2022,Male,20,2020,2,Yes,No,3,2,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Programming,1,Single,No,Bachelor,No,3.85,No,3.85,12,30000.0,1,3,2
282,2022,Male,21,2020,2,Yes,Yes,4,2,Online,Yes,Yes,1,Intermediate,100,No,No,Yes,Programming,1,Single,Yes,Family,Yes,3.6,No,3.6,11,35000.0,1,3,2
285,2022,Male,20,2020,2,Yes,No,3,2,Offline,Yes,Yes,5,Basic,90,No,No,Yes,Programming,1,Single,Yes,Bachelor,No,2.5,No,2.5,12,25000.0,1,1,1
290,2022,Male,20,2020,2,Yes,No,3,1,Offline,Yes,Yes,3,Basic,70,Yes,Yes,Yes,Programming,2,Single,No,Bachelor,No,3.24,No,3.24,11,40000.0,1,2,1
291,2019,Female,22,2018,11,No,Yes,2,1,Offline,Yes,Yes,2,Intermediate,99,Yes,No,No,Programming,1,Single,No,Family,No,2.3,No,2.8,113,60000.0,1,1,1
293,2021,Male,21,2019,3,Yes,No,4,2,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,"Programming, Networking, Digital Marketing, Drop Servicing, Performance marketing management",2,Single,Yes,Bachelor,No,3.52,No,3.5,21,25000.0,1,3,2
294,2022,Male,20,2020,2,Yes,No,3,1,Offline,Yes,Yes,2,Basic,95,No,No,No,Programming,4,Single,No,Bachelor,No,2.73,No,2.73,11,21000.0,1,1,1
295,2021,Male,24,2020,3,Yes,No,3,4,Offline,Yes,Yes,1,Basic,90,No,No,Yes,Programming,2,Single,No,Family,No,3.79,No,3.88,23,13000.0,1,3,2
296,2019,Female,23,2016,11,Yes,No,2,1,Offline,Yes,Yes,1,Basic,70,No,No,No,Nothing,0,Engaged,No,Bachelor,No,3.96,No,3.91,116,30000.0,1,3,2
300,2022,Male,23,2020,2,No,Yes,6,2,Online,Yes,Yes,1,Intermediate,100,No,No,No,Programming,2,Single,Yes,Family,No,3.85,No,3.85,12,30000.0,1,3,2
302,2022,Male,22,2020,2,Yes,Yes,2,1,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Its on learning phase,3,Single,No,Family,No,3.93,No,3.93,12,55000.0,1,3,2
304,2022,Male,20,2020,2,Yes,Yes,3,3,Offline,Yes,Yes,3,Intermediate,95,Yes,No,Yes,Programming,1,Single,No,Bachelor,No,3.47,No,3.47,12,30000.0,1,2,2
